Entity,Code,Year,Male-to-female height ratio
Afghanistan,AFG,1896,1.080277024
Afghanistan,AFG,1897,1.079525311
Afghanistan,AFG,1898,1.07877129
Afghanistan,AFG,1899,1.078021683
Afghanistan,AFG,1900,1.077272271
Afghanistan,AFG,1901,1.076525457
Afghanistan,AFG,1902,1.075787425
Afghanistan,AFG,1903,1.075055336
Afghanistan,AFG,1904,1.074332563
Afghanistan,AFG,1905,1.073617081
Afghanistan,AFG,1906,1.072907535
Afghanistan,AFG,1907,1.072210983
Afghanistan,AFG,1908,1.071525872
Afghanistan,AFG,1909,1.070851104
Afghanistan,AFG,1910,1.070183573
Afghanistan,AFG,1911,1.069528624
Afghanistan,AFG,1912,1.068889416
Afghanistan,AFG,1913,1.068263032
Afghanistan,AFG,1914,1.067648528
Afghanistan,AFG,1915,1.067046223
Afghanistan,AFG,1916,1.066453714
Afghanistan,AFG,1917,1.065871601
Afghanistan,AFG,1918,1.065298729
Afghanistan,AFG,1919,1.064737298
Afghanistan,AFG,1920,1.06417886
Afghanistan,AFG,1921,1.063628353
Afghanistan,AFG,1922,1.063080472
Afghanistan,AFG,1923,1.062543873
Afghanistan,AFG,1924,1.062018824
Afghanistan,AFG,1925,1.061500864
Afghanistan,AFG,1926,1.060993588
Afghanistan,AFG,1927,1.060505415
Afghanistan,AFG,1928,1.060038826
Afghanistan,AFG,1929,1.059588979
Afghanistan,AFG,1930,1.059151135
Afghanistan,AFG,1931,1.058729851
Afghanistan,AFG,1932,1.058317496
Afghanistan,AFG,1933,1.057912249
Afghanistan,AFG,1934,1.057512449
Afghanistan,AFG,1935,1.057118821
Afghanistan,AFG,1936,1.056726342
Afghanistan,AFG,1937,1.056337251
Afghanistan,AFG,1938,1.055955503
Afghanistan,AFG,1939,1.055584021
Afghanistan,AFG,1940,1.055231798
Afghanistan,AFG,1941,1.054903914
Afghanistan,AFG,1942,1.054610247
Afghanistan,AFG,1943,1.054350886
Afghanistan,AFG,1944,1.054126394
Afghanistan,AFG,1945,1.053932985
Afghanistan,AFG,1946,1.053770062
Afghanistan,AFG,1947,1.053637992
Afghanistan,AFG,1948,1.053532247
Afghanistan,AFG,1949,1.053446944
Afghanistan,AFG,1950,1.053372689
Afghanistan,AFG,1951,1.053303387
Afghanistan,AFG,1952,1.053243768
Afghanistan,AFG,1953,1.053191374
Afghanistan,AFG,1954,1.053147897
Afghanistan,AFG,1955,1.053116745
Afghanistan,AFG,1956,1.053102462
Afghanistan,AFG,1957,1.053112524
Afghanistan,AFG,1958,1.053150189
Afghanistan,AFG,1959,1.053216224
Afghanistan,AFG,1960,1.053313949
Afghanistan,AFG,1961,1.053441852
Afghanistan,AFG,1962,1.053590022
Afghanistan,AFG,1963,1.053759981
Afghanistan,AFG,1964,1.053951493
Afghanistan,AFG,1965,1.054169149
Afghanistan,AFG,1966,1.054415664
Afghanistan,AFG,1967,1.054693042
Afghanistan,AFG,1968,1.055004749
Afghanistan,AFG,1969,1.055361603
Afghanistan,AFG,1970,1.055759473
Afghanistan,AFG,1971,1.056195579
Afghanistan,AFG,1972,1.056662411
Afghanistan,AFG,1973,1.057155953
Afghanistan,AFG,1974,1.057665367
Afghanistan,AFG,1975,1.0581886
Afghanistan,AFG,1976,1.058717739
Afghanistan,AFG,1977,1.059241934
Afghanistan,AFG,1978,1.059754802
Afghanistan,AFG,1979,1.060250832
Afghanistan,AFG,1980,1.060720896
Afghanistan,AFG,1981,1.061166389
Afghanistan,AFG,1982,1.061583461
Afghanistan,AFG,1983,1.061963814
Afghanistan,AFG,1984,1.062314501
Afghanistan,AFG,1985,1.062636625
Afghanistan,AFG,1986,1.062934153
Afghanistan,AFG,1987,1.063214124
Afghanistan,AFG,1988,1.063485498
Afghanistan,AFG,1989,1.06375428
Afghanistan,AFG,1990,1.064025425
Afghanistan,AFG,1991,1.064294129
Afghanistan,AFG,1992,1.064564855
Afghanistan,AFG,1993,1.064834152
Afghanistan,AFG,1994,1.065107282
Afghanistan,AFG,1995,1.065379469
Afghanistan,AFG,1996,1.065648985
Albania,ALB,1896,1.087412437
Albania,ALB,1897,1.086779153
Albania,ALB,1898,1.086148482
Albania,ALB,1899,1.085522375
Albania,ALB,1900,1.084898053
Albania,ALB,1901,1.084282388
Albania,ALB,1902,1.083671852
Albania,ALB,1903,1.08307109
Albania,ALB,1904,1.082481182
Albania,ALB,1905,1.081900559
Albania,ALB,1906,1.081327892
Albania,ALB,1907,1.080764913
Albania,ALB,1908,1.080213721
Albania,ALB,1909,1.079671457
Albania,ALB,1910,1.079138837
Albania,ALB,1911,1.078620051
Albania,ALB,1912,1.078110273
Albania,ALB,1913,1.077602075
Albania,ALB,1914,1.077094901
Albania,ALB,1915,1.076587615
Albania,ALB,1916,1.076075866
Albania,ALB,1917,1.075554611
Albania,ALB,1918,1.075030462
Albania,ALB,1919,1.07450528
Albania,ALB,1920,1.073971776
Albania,ALB,1921,1.073434065
Albania,ALB,1922,1.072893361
Albania,ALB,1923,1.072358102
Albania,ALB,1924,1.071835188
Albania,ALB,1925,1.071333945
Albania,ALB,1926,1.070867721
Albania,ALB,1927,1.07045157
Albania,ALB,1928,1.070083202
Albania,ALB,1929,1.069762387
Albania,ALB,1930,1.06948329
Albania,ALB,1931,1.069248464
Albania,ALB,1932,1.069046167
Albania,ALB,1933,1.068875356
Albania,ALB,1934,1.068728024
Albania,ALB,1935,1.068602458
Albania,ALB,1936,1.068498807
Albania,ALB,1937,1.068412591
Albania,ALB,1938,1.068342515
Albania,ALB,1939,1.068296895
Albania,ALB,1940,1.068281581
Albania,ALB,1941,1.068307046
Albania,ALB,1942,1.068382282
Albania,ALB,1943,1.068512757
Albania,ALB,1944,1.068689167
Albania,ALB,1945,1.068907461
Albania,ALB,1946,1.069165751
Albania,ALB,1947,1.069460581
Albania,ALB,1948,1.069792513
Albania,ALB,1949,1.070149936
Albania,ALB,1950,1.070518222
Albania,ALB,1951,1.070884639
Albania,ALB,1952,1.071243956
Albania,ALB,1953,1.071587906
Albania,ALB,1954,1.071919461
Albania,ALB,1955,1.072237553
Albania,ALB,1956,1.072538757
Albania,ALB,1957,1.072825688
Albania,ALB,1958,1.073093593
Albania,ALB,1959,1.073335177
Albania,ALB,1960,1.073554146
Albania,ALB,1961,1.073746314
Albania,ALB,1962,1.073910052
Albania,ALB,1963,1.074045726
Albania,ALB,1964,1.074156355
Albania,ALB,1965,1.074250307
Albania,ALB,1966,1.074332048
Albania,ALB,1967,1.07440379
Albania,ALB,1968,1.074463389
Albania,ALB,1969,1.074517252
Albania,ALB,1970,1.074570619
Albania,ALB,1971,1.074620514
Albania,ALB,1972,1.074666643
Albania,ALB,1973,1.074705639
Albania,ALB,1974,1.074733231
Albania,ALB,1975,1.074750285
Albania,ALB,1976,1.074754157
Albania,ALB,1977,1.074740276
Albania,ALB,1978,1.074708622
Albania,ALB,1979,1.074655363
Albania,ALB,1980,1.074581723
Albania,ALB,1981,1.074494241
Albania,ALB,1982,1.074385421
Albania,ALB,1983,1.074252024
Albania,ALB,1984,1.074104885
Albania,ALB,1985,1.073935905
Albania,ALB,1986,1.073752373
Albania,ALB,1987,1.073561802
Albania,ALB,1988,1.073369924
Albania,ALB,1989,1.073178461
Albania,ALB,1990,1.072990525
Albania,ALB,1991,1.07280221
Albania,ALB,1992,1.072612409
Albania,ALB,1993,1.072420691
Albania,ALB,1994,1.072223029
Albania,ALB,1995,1.072023867
Albania,ALB,1996,1.07182426
Algeria,DZA,1896,1.056132025
Algeria,DZA,1897,1.056589528
Algeria,DZA,1898,1.057044609
Algeria,DZA,1899,1.057500032
Algeria,DZA,1900,1.0579575
Algeria,DZA,1901,1.058417478
Algeria,DZA,1902,1.058879233
Algeria,DZA,1903,1.059348581
Algeria,DZA,1904,1.059823249
Algeria,DZA,1905,1.060302994
Algeria,DZA,1906,1.060785976
Algeria,DZA,1907,1.061273082
Algeria,DZA,1908,1.061771622
Algeria,DZA,1909,1.062275427
Algeria,DZA,1910,1.062791312
Algeria,DZA,1911,1.063317691
Algeria,DZA,1912,1.063857934
Algeria,DZA,1913,1.064407614
Algeria,DZA,1914,1.06496672
Algeria,DZA,1915,1.065533235
Algeria,DZA,1916,1.066107176
Algeria,DZA,1917,1.066688234
Algeria,DZA,1918,1.06728034
Algeria,DZA,1919,1.06787657
Algeria,DZA,1920,1.068471463
Algeria,DZA,1921,1.069059911
Algeria,DZA,1922,1.069631763
Algeria,DZA,1923,1.070188891
Algeria,DZA,1924,1.07072298
Algeria,DZA,1925,1.071233314
Algeria,DZA,1926,1.071719253
Algeria,DZA,1927,1.072191052
Algeria,DZA,1928,1.072647436
Algeria,DZA,1929,1.073081107
Algeria,DZA,1930,1.073490585
Algeria,DZA,1931,1.073880248
Algeria,DZA,1932,1.074240219
Algeria,DZA,1933,1.074571222
Algeria,DZA,1934,1.074877684
Algeria,DZA,1935,1.075165997
Algeria,DZA,1936,1.07543472
Algeria,DZA,1937,1.075690503
Algeria,DZA,1938,1.075940528
Algeria,DZA,1939,1.076184554
Algeria,DZA,1940,1.076427102
Algeria,DZA,1941,1.076673219
Algeria,DZA,1942,1.076928492
Algeria,DZA,1943,1.077191046
Algeria,DZA,1944,1.077446976
Algeria,DZA,1945,1.077688071
Algeria,DZA,1946,1.077910364
Algeria,DZA,1947,1.078103164
Algeria,DZA,1948,1.078272098
Algeria,DZA,1949,1.078407853
Algeria,DZA,1950,1.078509189
Algeria,DZA,1951,1.078572919
Algeria,DZA,1952,1.078610639
Algeria,DZA,1953,1.078631507
Algeria,DZA,1954,1.078646322
Algeria,DZA,1955,1.07865235
Algeria,DZA,1956,1.078659297
Algeria,DZA,1957,1.078669289
Algeria,DZA,1958,1.078681601
Algeria,DZA,1959,1.078699953
Algeria,DZA,1960,1.078721149
Algeria,DZA,1961,1.078746279
Algeria,DZA,1962,1.078769402
Algeria,DZA,1963,1.078791814
Algeria,DZA,1964,1.078807498
Algeria,DZA,1965,1.078827103
Algeria,DZA,1966,1.07885543
Algeria,DZA,1967,1.07889284
Algeria,DZA,1968,1.078940947
Algeria,DZA,1969,1.079013444
Algeria,DZA,1970,1.079114623
Algeria,DZA,1971,1.0792305
Algeria,DZA,1972,1.079352276
Algeria,DZA,1973,1.079469934
Algeria,DZA,1974,1.079561163
Algeria,DZA,1975,1.079616833
Algeria,DZA,1976,1.079616416
Algeria,DZA,1977,1.079546631
Algeria,DZA,1978,1.07940289
Algeria,DZA,1979,1.079183614
Algeria,DZA,1980,1.078887982
Algeria,DZA,1981,1.078523124
Algeria,DZA,1982,1.078087539
Algeria,DZA,1983,1.077581486
Algeria,DZA,1984,1.077011913
Algeria,DZA,1985,1.076388221
Algeria,DZA,1986,1.075720807
Algeria,DZA,1987,1.075023675
Algeria,DZA,1988,1.074321939
Algeria,DZA,1989,1.073627497
Algeria,DZA,1990,1.072944953
Algeria,DZA,1991,1.072274169
Algeria,DZA,1992,1.071617231
